ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
1/19/2021,695,240,25,66,0,3.45000004768372,1.04999995231628,7.48999977111816
1/20/2021,700,212,11,9,0,4.1100001335144,0.490000009536743,0.709999978542328
1/21/2021,623,350,0,0,0,5.67000007629395,0,0
1/22/2021,574,294,25,62,0,4.96999979019165,1.12000000476837,7
1/23/2021,656,291,19,33,0,4.71999979019165,0.939999997615814,2.61999988555908
1/24/2021,487,333,16,24,0,6.26999998092651,1.01999998092651,1.91999995708466
1/25/2021,550,164,17,42,0,2.39000010490417,0.5799999833107,5.26000022888184
1/26/2021,842,269,8,13,0,4.46999979019165,0.589999973773956,1.01999998092651
1/27/2021,711,194,25,29,0,3.3199999332428,1.44000005722046,2.34999990463257
1/28/2021,555,213,7,9,0,4.48999977111816,0.280000001192093,0.740000009536743
1/29/2021,770,281,0,0,0,4.23999977111816,0,0
1/30/2021,564,371,6,5,0,7.42000007629395,0.349999994039536,0.379999995231628
1/31/2021,537,272,6,32,0,5.53000020980835,0.360000014305115,2.58999991416931
2/1/2021,749,276,7,22,0,4.28000020980835,0.230000004172325,1.61000001430511
2/2/2021,700,154,6,6,0,1.85000002384186,0.230000004172325,0.270000010728836
