ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
3/23/2021,11087,7.90999984741211,7.90999984741211,0,2.07999992370606,1.03999996185303,4.78000020980835,0,30,30,313,658,2813,,1583,787,59
3/24/2021,3211,2.30999994277954,2.30999994277954,0,0,0,2.29999995231628,0,0,0,135,860,2016,,1583,224,59
3/25/2021,7433,5.30999994277954,5.30999994277954,0,1.29999995231628,0.519999980926514,3.48000001907349,0,18,10,150,298,2285,,1583,456,60
3/26/2021,8469,6.03000020980835,6.03000020980835,0,1.37000000476837,1.3400000333786,3.30999994277954,0,19,29,170,812,2378,,1583,530,59
3/27/2021,10751,7.6399998664856,7.6399998664856,0,1.27999997138977,1.25999999046326,5.07999992370605,0,36,40,244,532,2802,,1583,853,62
3/28/2021,6416,4.48999977111816,4.48999977111816,0,0.540000021457672,0.639999985694885,3.29999995231628,0,10,12,177,773,2226,,1583,425,61
3/29/2021,10098,7.25,7.25,0,1.24000000953674,0.550000011920929,5.44000005722046,0,17,12,292,1119,2690,,1583,720,62
3/30/2021,3439,2.47000002861023,2.47000002861023,0,0,0,2.46000003814697,0,0,0,127,1232,2001,,1583,235,61
3/31/2021,13410,9.60000038146973,9.60000038146973,0,2.13000011444092,1.62999999523163,5.80000019073486,0,43,43,323,188,3079,,1583,1038,61
4/1/2021,6011,4.25,4.25,0,0,0,4.23999977111816,0,0,0,190,738,2170,,1583,367,64
4/2/2021,4826,3.49000000953674,3.49000000953674,0,0,0,3.48000001907349,0,0,0,191,765,2116,,1583,327,63
4/3/2021,15238,10.7600002288818,10.7600002288818,0,3.33999991416931,2.41000008583069,4.98999977111816,0,62,59,243,77,3035,,1583,1063,63
4/4/2021,8438,6.05000019073486,6.05000019073486,0,0.409999996423721,1.33000004291534,4.28999996185303,0,6,22,194,630,2301,,1583,484,61
4/5/2021,5981,4.30000019073486,4.30000019073486,0,0.810000002384186,0.899999976158142,2.57999992370605,0,11,16,109,845,2073,,1583,332,61
4/6/2021,11310,8.10999965667725,8.10999965667725,0,1.86000001430511,0.660000026226044,5.57000017166138,0,24,12,290,1037,2716,,1583,734,62
