ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
3/23/2021,658,313,30,30,0,4.78000020980835,1.03999996185303,2.07999992370606
3/24/2021,860,135,0,0,0,2.29999995231628,0,0
3/25/2021,298,150,10,18,0,3.48000001907349,0.519999980926514,1.29999995231628
3/26/2021,812,170,29,19,0,3.30999994277954,1.3400000333786,1.37000000476837
3/27/2021,532,244,40,36,0,5.07999992370605,1.25999999046326,1.27999997138977
3/28/2021,773,177,12,10,0,3.29999995231628,0.639999985694885,0.540000021457672
3/29/2021,1119,292,12,17,0,5.44000005722046,0.550000011920929,1.24000000953674
3/30/2021,1232,127,0,0,0,2.46000003814697,0,0
3/31/2021,188,323,43,43,0,5.80000019073486,1.62999999523163,2.13000011444092
4/1/2021,738,190,0,0,0,4.23999977111816,0,0
4/2/2021,765,191,0,0,0,3.48000001907349,0,0
4/3/2021,77,243,59,62,0,4.98999977111816,2.41000008583069,3.33999991416931
4/4/2021,630,194,22,6,0,4.28999996185303,1.33000004291534,0.409999996423721
4/5/2021,845,109,16,11,0,2.57999992370605,0.899999976158142,0.810000002384186
4/6/2021,1037,290,12,24,0,5.57000017166138,0.660000026226044,1.86000001430511
