SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
9/8/2021 12:00:00 AM,1,326,342
9/9/2021 12:00:00 AM,1,401,423
9/10/2021 12:00:00 AM,1,332,347
9/11/2021 12:00:00 AM,1,288,305
9/12/2021 12:00:00 AM,1,191,216
9/13/2021 12:00:00 AM,1,336,346
9/14/2021 12:00:00 AM,1,266,275
9/15/2021 12:00:00 AM,1,198,217
9/16/2021 12:00:00 AM,2,473,491
9/17/2021 12:00:00 AM,1,308,320
9/18/2021 12:00:00 AM,1,386,407
9/19/2021 12:00:00 AM,1,233,246
9/20/2021 12:00:00 AM,1,290,298
9/21/2021 12:00:00 AM,1,128,140
9/22/2021 12:00:00 AM,1,288,323
