ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
12/28/2020,12682,8.11999988555908,8.11999988555908,0,0.97000002861023,0.9200000166893,6.21999979019165,0,30,31,307,1072,2927,,1603,912,60
12/29/2020,12322,7.59000015258789,7.59000015258789,0,0.810000002384186,0.879999995231628,5.8899998664856,0,39,27,323,614,2911,,1603,890,61
12/30/2020,13405,7.98999977111816,7.98999977111816,0,2.50999999046326,1.35000002384186,4.1100001335144,0,68,43,234,371,2972,,1603,1013,60
12/31/2020,9541,5.80999994277954,5.80999994277954,0,0.790000021457672,0.050000000745058,4.96000003814697,0,26,12,288,923,2640,,1603,667,62
1/1/2021,12573,7.48000001907349,7.48000001907349,0,1.8400000333786,0.330000013113022,5.30000019073486,0,51,20,329,516,3029,,1603,989,60
1/2/2021,11461,6.92999982833862,6.92999982833862,0,0.839999973773956,0.97000002861023,5.09999990463257,0,28,58,310,627,2979,,1603,959,59
1/3/2021,10580,6.26999998092651,6.26999998092651,0,0.870000004768372,0.129999995231628,5.26000022888184,0,37,7,307,714,2807,,1603,790,59
1/4/2021,9480,6.07000017166138,6.07000017166138,0,0.310000002384186,0.170000001788139,5.57999992370605,0,6,15,272,681,2621,,1603,658,60
1/5/2021,7513,4.53999996185303,4.53999996185303,0,0.479999989271164,0.600000023841858,3.46000003814697,0,26,19,181,741,2480,,1603,578,60
1/6/2021,6410,3.69000005722046,3.69000005722046,0,0.8299999833107,0.059999998658895,2.78999996185303,0,30,12,153,888,2462,,1603,507,61
1/7/2021,9916,5.98000001907349,5.98000001907349,0,1.01999998092651,0.280000001192093,4.65999984741211,0,39,23,272,723,2906,,1603,865,62
1/8/2021,10963,6.71000003814697,6.71000003814697,0,1,0.280000001192093,5.42000007629395,0,28,23,270,620,2712,,1603,749,61
1/9/2021,10879,6.84999990463257,6.84999990463257,0,2.61999988555908,0.349999994039536,3.85999989509583,0,47,25,257,521,2740,,1603,783,61
1/10/2021,9675,6.86999988555908,6.86999988555908,0,0.070000000298023,0.52999997138977,6.25,0,1,10,322,510,2665,,1603,691,60
1/11/2021,9162,5.28999996185303,5.28999996185303,0,0.6700000166893,0.239999994635582,4.36999988555908,0,22,24,248,1146,2606,,1603,660,60
